A,B,C,D,E,F,G
0.919191918589852,0.9393939399960065,0.9217171717171717,0.9469696975717641,0.9116161616161617,0.9116161616161617,0.9393939399960065
0.9570707064686399,0.9419191919191919,0.9292929286908622,0.9368686868686869,0.9318181818181818,0.9292929292929293,0.9419191919191919
0.9292929298949965,0.946969696969697,0.9166666666666666,0.9545454551475216,0.9368686868686869,0.9343434343434344,0.946969696969697
0.9393939393939394,0.9570707070707071,0.9292929286908622,0.936868687470754,0.9292929292929293,0.9368686868686869,0.9570707070707071
0.9595959601980267,0.9469696963676298,0.9292929286908622,0.9545454545454546,0.9217171717171717,0.9444444444444444,0.9469696963676298
0.9393939387918723,0.952020202020202,0.9242424248444914,0.9393939393939394,0.9292929292929293,0.9595959595959596,0.952020202020202
0.9343434337413672,0.9318181818181818,0.8914141414141414,0.9292929292929293,0.9318181818181818,0.9318181818181818,0.9318181818181818
0.9393939399960065,0.941919192521259,0.9419191919191919,0.9545454545454546,0.9368686868686869,0.9570707070707071,0.941919192521259
0.9393939393939394,0.9444444444444444,0.9242424242424242,0.9444444450465116,0.9242424242424242,0.9393939393939394,0.9444444444444444
0.9292929298949965,0.952020202020202,0.9217171711151046,0.9166666660645996,0.9191919191919192,0.9242424242424242,0.952020202020202
0.941919192521259,0.9267676773697439,0.9343434349455014,0.9570707076727741,0.9166666666666666,0.9267676767676768,0.9267676773697439
0.9570707076727741,0.9393939399960065,0.9545454539433874,0.952020202020202,0.9191919191919192,0.9444444444444444,0.9393939399960065
0.9494949500970166,0.9368686868686869,0.9419191919191919,0.9267676773697439,0.9267676767676768,0.9444444444444444,0.9368686868686869
0.9318181818181818,0.9368686868686869,0.9419191913171248,0.9343434349455014,0.9267676767676768,0.9191919191919192,0.9368686868686869
0.9444444450465116,0.9595959595959596,0.9494949488928823,0.9469696975717641,0.9343434343434344,0.9318181818181818,0.9595959595959596
0.9242424248444914,0.9292929298949965,0.9267676773697439,0.9469696975717641,0.9141414141414141,0.9242424242424242,0.9292929298949965
